,Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Discount
567,SONY ,HD LED,32,22999,27990,Linux,4.4,4991
568,MICROMAX,HD LED,20,6498,10590,Android,4.2,4092
569,SONY ,Ultra HD LED,55,82493,129900,Android,4.8,47407
570,LG ,HD LED,32,28311,30900,WebOS,3.7,2589
571,VU,HD LED,32,13999,19000,Android,4.3,5001
572,SONY ,Ultra HD LED,49,66104,129900,Android,4.4,63796
573,SAMSUNG,Ultra HD LED,43,35999,52900,Tizen,4.5,16901
574,PANASONIC,Full HD LED,43,36999,49900,Android,4.4,12901
575,LG ,Ultra HD LED,50,44990,66990,WebOS,4.4,22000
576,LG ,HD LED,24,14771,15900,Linux,4.4,1129
577,MICROMAX,HD LED,32,10499,19990,Android,4.3,9491
578,SAMSUNG,HD LED,32,17499,20900,Tizen,4.3,3401
579,VU,Full HD LED,40,16999,32175,Android,4.4,15176
580,SAMSUNG,Full HD LED,40,19929,43476,Tizen,4.3,23547
581,TCL ,QLED Ultra HD,75,149990,399990,Android,3.9,250000
582,IFFALCON BY TCL,Ultra HD LED,43,29999,76990,Android,4.3,46991
583,PANASONIC,Full HD LED,49,42999,72900,Linux,4.2,29901
584,VU,Full HD LED,43,22499,31000,Android,4.2,8501
585,MURPHY ,Full HD LED,32,12990,16990,Unknown,4.237685459940661,4000
586,HISENSE,QLED Ultra HD,65,84990,109990,Android,4.237685459940661,25000
587,CLOUDWALKER,Ultra HD LED,55,36999,61990,Android,4.1,24991
588,SONY ,Full HD LED,32,31990,39990,Linux,4.5,8000
589,SANYO ,Ultra HD LED,49,39999,64990,Linux,3.9,24991
590,PANASONIC,Full HD LED,43,27990,56900,Android,4.1,28910
591,VU,Ultra HD LED,50,37254,60000,Android,4.3,22746
592,LG ,Ultra HD LED,55,115658,212490,WebOS,4.6,96832
593,SONY ,Ultra HD LED,65,152999,269900,Android,4.5,116901
594,MICROMAX,Full HD LED,40,18990,36663,Android,4.2,17673
595,LG ,Full HD LED,22,13933,14500,Linux,4.6,567
596,LG ,HD LED,24,14495,14500,Linux,4.4,5
597,SONY ,Ultra HD LED,65,140791,209900,Android,4.8,69109
598,VU,Ultra HD LED,50,27999,55000,Android,4.4,27001
599,MI ,Ultra HD LED,55,43477,44999,Android,4.237685459940661,1522
600,TCL ,Full HD LED,40,19489,36419,Linux,4.1,16930
601,PANASONIC,Ultra HD LED,65,114999,179900,Linux,4.8,64901
602,LG ,Ultra HD LED,43,36999,55990,WebOS,4.5,18991
603,LG ,HD LED,32,19603,26490,Linux,4.4,6887
604,SAMSUNG,Full HD LED,50,36900,36900,Tizen,3.8,0
605,PHILIPS,Ultra HD LED,55,48999,89990,Android,4.0,40991
606,MICROMAX,HD LED,22,8900,10000,Android,4.2,1100
607,VU,Ultra HD LED,50,50000,50000,Android,4.4,0
608,MI ,Full HD LED,49,32994,32999,Android,4.4,5
609,INTEX ,HD LED,32,12699,27990,Android,3.6,15291
610,KODAK ,Full HD LED,49,22999,31990,Android,4.3,8991
611,PHILIPS,HD LED,32,10840,24990,Android,4.1,14150
612,ONIDA,Full HD LED,49,29990,50990,Android,4.4,21000
613,DEKTRON,HD LED,24,6999,10999,Linux,4.3,4000
614,RGL ,Full HD LED,21,5200,9420,HomeOS,3.9,4220
615,SONY ,Full HD LED,52,37900,37900,Linux,4.6,0
616,CLOUDWALKER,Full HD LED,43,17499,32990,Android,4.3,15491
617,LG ,HD LED,24,15552,16900,Linux,2.0,1348
618,TOSHIBA,Ultra HD LED,43,28999,38999,VIDAA,4.237685459940661,10000
619,LG ,Full HD LED,22,12453,13500,Linux,4.1,1047
620,IFFALCON BY TCL,HD LED,32,13990,18990,Android,4.2,5000
621,LG ,Full HD LED,32,32527,38900,WebOS,4.3,6373
622,SAMSUNG,Full HD LED,40,33000,43850,Tizen,3.8,10850
623,MICROMAX,HD LED,24,5792,11990,Android,4.3,6198
624,CLOUDWALKER,Ultra HD LED,55,84500,84500,Android,3.7,0
625,SAMSUNG,Full HD LED,32,20126,40900,Tizen,4.4,20774
626,SAMSUNG,Full HD LED,32,15990,34900,Tizen,4.2,18910
627,VU,HD LED,32,14999,15000,Android,4.3,1
628,LUMX ,HD LED,32,11990,23900,Android,4.237685459940661,11910
629,PANASONIC,Full HD LED,43,53999,59900,Android,4.4,5901
630,RGL ,Full HD LED,22,5490,9990,HomeOS,3.9,4500
631,LG ,Full HD LED,32,31990,31990,WebOS,4.4,0
632,CLOUDWALKER,HD LED,32,11999,19990,Android,4.3,7991
633,SHARP ,Ultra HD LED,50,37396,79990,Linux,4.237685459940661,42594
635,AKAI ,HD LED,32,17500,23190,Android,4.237685459940661,5690
636,SONY ,Full HD LED,50,52999,79900,Linux,4.5,26901
637,LG ,Full HD LED,43,25999,35990,WebOS,4.3,9991
639,ONIDA,Ultra HD LED,43,29800,49990,Android,4.1,20190
640,MOTOROLA,Ultra HD LED,55,39999,61600,Android,4.3,21601
641,VU,Ultra HD LED,43,23999,46165,Android,4.3,22166
642,CLOUDWALKER,Full HD LED,39,14999,26990,Android,4.2,11991
643,LG ,HD LED,32,20776,28990,WebOS,4.5,8214
644,CLOUDWALKER,HD LED,32,17989,17990,Android,4.3,1
645,CLOUDWALKER,Full HD LED,43,21999,31990,Android,4.0,9991
646,LG ,HD LED,24,6765,13490,Linux,4.3,6725
647,DETEL ,HD LED,32,7833,21999,Android,4.2,14166
648,VU,HD LED,32,10999,18000,Android,4.4,7001
649,CLOUDWALKER,Ultra HD LED,43,24999,37990,Android,3.9,12991
650,PANASONIC,HD LED,32,27399,27400,Android,4.4,1
651,PANASONIC,Ultra HD LED,49,62999,111900,Android,2.8,48901
652,PANASONIC,Ultra HD LED,55,90104,178900,Linux,4.237685459940661,88796
653,LG ,Full HD LED,43,24930,45674,Linux,4.0,20744
654,MICROMAX,HD LED,32,16825,23990,Android,4.3,7165
655,PANASONIC,Full HD LED,32,62900,62900,Android,4.237685459940661,0
656,KRISONS,HD LED,20,6599,7999,Android,4.237685459940661,1400
657,PANASONIC,Full HD LED,40,34639,39900,Android,4.1,5261
658,THOMSON,Ultra HD LED,43,24999,39999,Android,4.4,15000
659,WESTON ,Ultra HD LED,55,59990,59990,Android,4.2,0
660,SAMSUNG,HD LED,32,13990,28900,Tizen,4.5,14910
661,TCL ,Ultra HD LED,65,159990,159990,Android,4.237685459940661,0
662,PANASONIC,HD LED,32,26999,29900,Android,4.2,2901
663,CROMA ,HD LED,32,13994,20000,Android,3.6,6006
664,TCL ,Ultra HD LED,55,116990,116990,Android,4.237685459940661,0
665,BLAUPUNKT,Ultra HD LED,55,29199,60000,Android,3.8,30801
670,RGL ,Full HD LED,50,35990,39990,HomeOS,3.9,4000
671,SAMSUNG,Full HD LED,46,87500,87500,Tizen,3.7,0
672,AISEN  ,Ultra HD LED,55,63900,64900,Android,4.237685459940661,1000
673,PANASONIC,Ultra HD LED,55,168900,168900,Android,3.8,0
674,AISEN  ,Ultra HD LED,49,47900,48900,Android,4.237685459940661,1000
675,SAMSUNG,Ultra HD LED,55,178900,178900,Tizen,3.9,0
676,SAMSUNG,Full HD LED,46,145500,145500,Tizen,4.237685459940661,0
677,SAMSUNG,Full HD LED,60,210900,210900,Tizen,4.237685459940661,0
678,SAMSUNG,Full HD LED,55,160500,160500,Tizen,4.237685459940661,0
679,SAMSUNG,Full HD LED,46,139990,139990,Tizen,4.5,0
680,SAMSUNG,Full HD LED,55,189900,189900,Tizen,4.6,0
681,SAMSUNG,Full HD LED,55,267000,267000,Tizen,4.2,0
682,G-TEN ,Full HD LED,43,14990,38990,Android,3.5,24000
683,ONIDA,Full HD LED,43,28999,33990,Android,4.1,4991
684,SAMSUNG,Full HD LED,55,218900,218900,Tizen,4.237685459940661,0
685,SAMSUNG,Full HD LED,55,249990,249990,Tizen,4.3,0
686,LG ,Full HD LED,47,112000,112000,WebOS,5.0,0
